comment_id,comment_message,tags,theme,objective
11,"I use the Google Fit, and Glucose Buddy apps to help manage my diabetes. I have been using Google Fit for about 5 years, and Glucose Buddy for about 2 years. Glucose Buddy is the more useful of these two apps, because it allows me to connect my Dexcom glucometer, and allows me to log my numbers manually while also tracking steps, exercise, and meals. The only thing missing from this app, is that I wish that it could connect to other glucometers.  


Regarding the other apps listed - OnDuo, Levels, or January; I have not heard of these, but would be interested in searching them out, and finding out more about them.",Awareness of Levels,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
11,"I use the Google Fit, and Glucose Buddy apps to help manage my diabetes. I have been using Google Fit for about 5 years, and Glucose Buddy for about 2 years. Glucose Buddy is the more useful of these two apps, because it allows me to connect my Dexcom glucometer, and allows me to log my numbers manually while also tracking steps, exercise, and meals. The only thing missing from this app, is that I wish that it could connect to other glucometers.  


Regarding the other apps listed - OnDuo, Levels, or January; I have not heard of these, but would be interested in searching them out, and finding out more about them.",Awareness of January,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
12,"I use my fitness pal and map my run to track my food and activity. I don’t have any diabetic specific apps I use. 

 

 

I use them daily as long as I remember to. 

 

I have been using them for about 5 years. 

 

They are both super similar in how to use them but one I log my food in and the other I log exercise. So I find them both equally useful. 

 
 

Maybe an app that you can log your sugars in to keep track. 

 

 • Have you heard of any of the following smartphone apps: 

 

OnDuo, Levels, or January? I have not.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
12,"I use my fitness pal and map my run to track my food and activity. I don’t have any diabetic specific apps I use. 

 

 

I use them daily as long as I remember to. 

 

I have been using them for about 5 years. 

 

They are both super similar in how to use them but one I log my food in and the other I log exercise. So I find them both equally useful. 

 
 

Maybe an app that you can log your sugars in to keep track. 

 

 • Have you heard of any of the following smartphone apps: 

 

OnDuo, Levels, or January? I have not.",Non-Diabetes App Usage,Identifying usage patterns and potential gaps in the diabetes app market,To uncover any gaps in the current apps market that could be filled for better diabetes management
12,"I use my fitness pal and map my run to track my food and activity. I don’t have any diabetic specific apps I use. 

 

 

I use them daily as long as I remember to. 

 

I have been using them for about 5 years. 

 

They are both super similar in how to use them but one I log my food in and the other I log exercise. So I find them both equally useful. 

 
 

Maybe an app that you can log your sugars in to keep track. 

 

 • Have you heard of any of the following smartphone apps: 

 

OnDuo, Levels, or January? I have not.",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
12,"I use my fitness pal and map my run to track my food and activity. I don’t have any diabetic specific apps I use. 

 

 

I use them daily as long as I remember to. 

 

I have been using them for about 5 years. 

 

They are both super similar in how to use them but one I log my food in and the other I log exercise. So I find them both equally useful. 

 
 

Maybe an app that you can log your sugars in to keep track. 

 

 • Have you heard of any of the following smartphone apps: 

 

OnDuo, Levels, or January? I have not.",Awareness of Levels,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
12,"I use my fitness pal and map my run to track my food and activity. I don’t have any diabetic specific apps I use. 

 

 

I use them daily as long as I remember to. 

 

I have been using them for about 5 years. 

 

They are both super similar in how to use them but one I log my food in and the other I log exercise. So I find them both equally useful. 

 
 

Maybe an app that you can log your sugars in to keep track. 

 

 • Have you heard of any of the following smartphone apps: 

 

OnDuo, Levels, or January? I have not.",Awareness of January,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
13,"When I used a bluetooth enabled glucose monitor I used the app that goes along with it, but now my insurance doesn't cover the test strips for that monitor, so I stopped using the app. I probably only used it for a few months, and this was a few years ago. 


Currently, I just use the Garmin app that works with my Garmin watch to track my steps, activity levels, amount of nightly sleep, and water intake. So it is not specifically geared toward diabetes management, but it helps with monitoring factors that could contribute to good or poor glucose control. I look at the app everyday to every other day so I can see the big picture with regards to my health. I really like the interface of this app and would like to see diabetes-related info integrated into it. I guess that would mean being able to see my glucose level on my watch at any given moment because I would prefer to not carry my monitor and/or phone while exercising. 


I have not heard of the OnDuo, Levels, or January apps, but I've also not been super engaged in investigating new technology for diabetes lately.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
14,"

I have never used a Smartphone app to manage my diabetes. As such, I can’t really tell you what type of app is missing. Although I can see the utility of some of these apps, I’ve had diabetes for over forty years, so it’s pretty built in by now. 


I have likewise not heard of any of these apps. Outside of diabetes forums or publications, I’m not sure where you would hear about such things. My doctor has never recommended one.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
15,"Hi, I have used the Onduo app for some time now and I love it, its easy to use, navigate and really helps me keep my diabetes under control. Very user friendly. I use this app almost daily, helps keep me monitored and on track. I also use the Inpen diabetes management app as well, thus also guides me and helps keep me in control of my diabetes.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
15,"Hi, I have used the Onduo app for some time now and I love it, its easy to use, navigate and really helps me keep my diabetes under control. Very user friendly. I use this app almost daily, helps keep me monitored and on track. I also use the Inpen diabetes management app as well, thus also guides me and helps keep me in control of my diabetes.",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
17,"

I have not used any apps yet.",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
18,"What smartphone apps do you use to help with the management of your diabetes? 


How often do you use these apps? 


Multiple times per day 


How long have you been using these apps? 


A bit over a year 


If you’re using multiple, which app(s) is the most useful? Why? 


Dexcom G6 and Clarity. The G6 provides an easily accessible reading of my Dexcom G6, just have to ask Siri for Glucose. In bright sun (and especially with sunglasses) it is very hard to read the Tandem pump, phone is brighter and asking Siri, I can hear he answer. Having the audio readout is great when ones hands are busy doing something else. Clarity came in the package, but rarely access it via the phone. 


What type of app is missing that you would like to see for management of your diabetes? I am happy with what I have - The Dexcom app can track exercise, snacks, injected insulin, health. Everything that I need. 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January 


Have not heard of any of those apps.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
18,"What smartphone apps do you use to help with the management of your diabetes? 


How often do you use these apps? 


Multiple times per day 


How long have you been using these apps? 


A bit over a year 


If you’re using multiple, which app(s) is the most useful? Why? 


Dexcom G6 and Clarity. The G6 provides an easily accessible reading of my Dexcom G6, just have to ask Siri for Glucose. In bright sun (and especially with sunglasses) it is very hard to read the Tandem pump, phone is brighter and asking Siri, I can hear he answer. Having the audio readout is great when ones hands are busy doing something else. Clarity came in the package, but rarely access it via the phone. 


What type of app is missing that you would like to see for management of your diabetes? I am happy with what I have - The Dexcom app can track exercise, snacks, injected insulin, health. Everything that I need. 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January 


Have not heard of any of those apps.",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
18,"What smartphone apps do you use to help with the management of your diabetes? 


How often do you use these apps? 


Multiple times per day 


How long have you been using these apps? 


A bit over a year 


If you’re using multiple, which app(s) is the most useful? Why? 


Dexcom G6 and Clarity. The G6 provides an easily accessible reading of my Dexcom G6, just have to ask Siri for Glucose. In bright sun (and especially with sunglasses) it is very hard to read the Tandem pump, phone is brighter and asking Siri, I can hear he answer. Having the audio readout is great when ones hands are busy doing something else. Clarity came in the package, but rarely access it via the phone. 


What type of app is missing that you would like to see for management of your diabetes? I am happy with what I have - The Dexcom app can track exercise, snacks, injected insulin, health. Everything that I need. 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January 


Have not heard of any of those apps.",Awareness of Levels,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
18,"What smartphone apps do you use to help with the management of your diabetes? 


How often do you use these apps? 


Multiple times per day 


How long have you been using these apps? 


A bit over a year 


If you’re using multiple, which app(s) is the most useful? Why? 


Dexcom G6 and Clarity. The G6 provides an easily accessible reading of my Dexcom G6, just have to ask Siri for Glucose. In bright sun (and especially with sunglasses) it is very hard to read the Tandem pump, phone is brighter and asking Siri, I can hear he answer. Having the audio readout is great when ones hands are busy doing something else. Clarity came in the package, but rarely access it via the phone. 


What type of app is missing that you would like to see for management of your diabetes? I am happy with what I have - The Dexcom app can track exercise, snacks, injected insulin, health. Everything that I need. 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January 


Have not heard of any of those apps.",Awareness of January,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
19,"What smartphone apps do you use to help with the management of your diabetes? Glucose Buddy 


How often do you use these apps? Every day 


How long have you been using these apps? 2 years 


If you’re using multiple, which app(s) is the most useful? Why? N/A 


What type of app is missing that you would like to see for management of your diabetes? A built-in smart assistant 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: N/A (haven't heard of them)",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
19,"What smartphone apps do you use to help with the management of your diabetes? Glucose Buddy 


How often do you use these apps? Every day 


How long have you been using these apps? 2 years 


If you’re using multiple, which app(s) is the most useful? Why? N/A 


What type of app is missing that you would like to see for management of your diabetes? A built-in smart assistant 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: N/A (haven't heard of them)",Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
19,"What smartphone apps do you use to help with the management of your diabetes? Glucose Buddy 


How often do you use these apps? Every day 


How long have you been using these apps? 2 years 


If you’re using multiple, which app(s) is the most useful? Why? N/A 


What type of app is missing that you would like to see for management of your diabetes? A built-in smart assistant 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: N/A (haven't heard of them)",Awareness of Levels,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
19,"What smartphone apps do you use to help with the management of your diabetes? Glucose Buddy 


How often do you use these apps? Every day 


How long have you been using these apps? 2 years 


If you’re using multiple, which app(s) is the most useful? Why? N/A 


What type of app is missing that you would like to see for management of your diabetes? A built-in smart assistant 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: N/A (haven't heard of them)",Awareness of January,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
20,i use the Fooducate app on my iphone. I love this app. I use it all the time and everyday. Ive been using this app for over 3 years now. I love it. It helps me monitor everything. from sugar to calories. I dont use any other apps. I just use the Fooducate app,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
20,i use the Fooducate app on my iphone. I love this app. I use it all the time and everyday. Ive been using this app for over 3 years now. I love it. It helps me monitor everything. from sugar to calories. I dont use any other apps. I just use the Fooducate app,Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
20,i use the Fooducate app on my iphone. I love this app. I use it all the time and everyday. Ive been using this app for over 3 years now. I love it. It helps me monitor everything. from sugar to calories. I dont use any other apps. I just use the Fooducate app,Single App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
21,I use the Glucose Buddy app. I use the app everyday. I have been using this app for close to 5 years now. It helps me monitor my glucose levels and tells me how much glucose is in a certain type of food. It helps me plan out my meals. I dont think there are any apps that are missing. I have heard of OnDuo app. I heard about it from another family member that is diabetic. I havent used it because i am happy with my glucose buddy app,Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
21,I use the Glucose Buddy app. I use the app everyday. I have been using this app for close to 5 years now. It helps me monitor my glucose levels and tells me how much glucose is in a certain type of food. It helps me plan out my meals. I dont think there are any apps that are missing. I have heard of OnDuo app. I heard about it from another family member that is diabetic. I havent used it because i am happy with my glucose buddy app,Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
21,I use the Glucose Buddy app. I use the app everyday. I have been using this app for close to 5 years now. It helps me monitor my glucose levels and tells me how much glucose is in a certain type of food. It helps me plan out my meals. I dont think there are any apps that are missing. I have heard of OnDuo app. I heard about it from another family member that is diabetic. I havent used it because i am happy with my glucose buddy app,Awareness of OnDuo,Assessing patient awareness and satisfaction with specific diabetes management apps,"To gather user feedback on the named apps (OnDuo, Levels, January) – such as how they discovered them, what they like/dislike, and potential improvements"
22,the only think i use to montior my health is my fit bit. I dont log water or calories i just dont have time to log those things.,Fitbit App Usage,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
23,"

I dont use apps to manage",Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
24,"What smartphone apps do you use to help with the management of your diabetes? - I use dexcom app 


How often do you use these apps? - i use it several times a day 


How long have you been using these apps? - i have been using it since last 3 years or so. 


If you’re using multiple, which app(s) is the most useful? Why? - i do not use multiple apps 


What type of app is missing that you would like to see for management of your diabetes? - Well i cannot think of anything that is missing in my current app 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


How did you hear about these apps?If you’re using any of them, how long have you been using?What do you find most helpful/what do you like most about these apps?What improvements would you like to see, if any? 


NO I HAVEN'T HEARD OF THESE APPS BEFORE TODAY",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
24,"What smartphone apps do you use to help with the management of your diabetes? - I use dexcom app 


How often do you use these apps? - i use it several times a day 


How long have you been using these apps? - i have been using it since last 3 years or so. 


If you’re using multiple, which app(s) is the most useful? Why? - i do not use multiple apps 


What type of app is missing that you would like to see for management of your diabetes? - Well i cannot think of anything that is missing in my current app 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


How did you hear about these apps?If you’re using any of them, how long have you been using?What do you find most helpful/what do you like most about these apps?What improvements would you like to see, if any? 


NO I HAVEN'T HEARD OF THESE APPS BEFORE TODAY",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
24,"What smartphone apps do you use to help with the management of your diabetes? - I use dexcom app 


How often do you use these apps? - i use it several times a day 


How long have you been using these apps? - i have been using it since last 3 years or so. 


If you’re using multiple, which app(s) is the most useful? Why? - i do not use multiple apps 


What type of app is missing that you would like to see for management of your diabetes? - Well i cannot think of anything that is missing in my current app 


Have you heard of any of the following smartphone apps: OnDuo, Levels, or January?If so: 


How did you hear about these apps?If you’re using any of them, how long have you been using?What do you find most helpful/what do you like most about these apps?What improvements would you like to see, if any? 


NO I HAVEN'T HEARD OF THESE APPS BEFORE TODAY",Single App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
25,"I don't use any diabetes apps. I know they're apps for devices we wear but I don't have those devices, I have a meditroc pump with a sensor but it doesn't have an app. I would like to see an app for my pump and sensor so I won't have to take my pump out of my pocket all the time to see my blood sugar.",Desire for Glucose Monitoring App,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
26,Don't currently use any apps to assist in my diabetes management. I have not heard of the apps mentioned so I am not familiar with them. Not sure what the apps provide.,Non-Usage of Available App,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
27,"As I don't currently have I smart phone, I don't use any apps. However, I have read about them in Diabetes Forecast and other periodicals and am definitely interested and expect to start using them soon. The Dexcom G6 app several mention sounds particularly good.",Interest in Using Apps,Evaluating the specific needs and desires for features in diabetes management apps,To evaluate the usefulness of these apps from the perspective of the patients
28,"What smartphone apps do you use to help with the management of your diabetes? I use the Dexcom G6 app to help manage my diabetes.
How often do you use these apps? I use it each and every day. 
How long have you been using these apps? I have been using the Dexcom G6 app for almost a year now.
If you’re using multiple, which app(s) is the most useful? Why? I have only ever used the Dexcom G6 app.
What type of app is missing that you would like to see for management of your diabetes? The Dexcom G6 app meets my needs completely especially since I don't have to use fingersticks. I can't even think of anything that would improve my experience.
Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? This is the first time I am hearing about the 3 of these apps.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
28,"What smartphone apps do you use to help with the management of your diabetes? I use the Dexcom G6 app to help manage my diabetes.
How often do you use these apps? I use it each and every day. 
How long have you been using these apps? I have been using the Dexcom G6 app for almost a year now.
If you’re using multiple, which app(s) is the most useful? Why? I have only ever used the Dexcom G6 app.
What type of app is missing that you would like to see for management of your diabetes? The Dexcom G6 app meets my needs completely especially since I don't have to use fingersticks. I can't even think of anything that would improve my experience.
Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? This is the first time I am hearing about the 3 of these apps.",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
28,"What smartphone apps do you use to help with the management of your diabetes? I use the Dexcom G6 app to help manage my diabetes.
How often do you use these apps? I use it each and every day. 
How long have you been using these apps? I have been using the Dexcom G6 app for almost a year now.
If you’re using multiple, which app(s) is the most useful? Why? I have only ever used the Dexcom G6 app.
What type of app is missing that you would like to see for management of your diabetes? The Dexcom G6 app meets my needs completely especially since I don't have to use fingersticks. I can't even think of anything that would improve my experience.
Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? This is the first time I am hearing about the 3 of these apps.",Single App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
29,"

What smartphone apps do you use to help manage your diabetes? livongo omade How often do you use these apps? all the time How long have you been using these apps? I have used them for several years If you use several, which applications are the most useful? Why? The ones that I mentioned before I believe or for me are the best What kind of app is missing that you would like to see for managing your diabetes? I think that what has come out so far covers the demand of us diabetics Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? if I have heard If so: How did you find out about these apps? In Internet If you are using any of them, how long have you been using them? I have not used so far What do you find most useful / what do you like the most about these apps? Well, if they are very useful, these apps help us a lot What improvements, if any, would you like to see? What else can be added if they have it all.",Daily App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
29,"

What smartphone apps do you use to help manage your diabetes? livongo omade How often do you use these apps? all the time How long have you been using these apps? I have used them for several years If you use several, which applications are the most useful? Why? The ones that I mentioned before I believe or for me are the best What kind of app is missing that you would like to see for managing your diabetes? I think that what has come out so far covers the demand of us diabetics Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? if I have heard If so: How did you find out about these apps? In Internet If you are using any of them, how long have you been using them? I have not used so far What do you find most useful / what do you like the most about these apps? Well, if they are very useful, these apps help us a lot What improvements, if any, would you like to see? What else can be added if they have it all.",Long-term App Usage,Understanding the frequency and duration of app usage among diabetes patients,To ascertain duration of app usage as an indication of patient adaptability and app retention
29,"

What smartphone apps do you use to help manage your diabetes? livongo omade How often do you use these apps? all the time How long have you been using these apps? I have used them for several years If you use several, which applications are the most useful? Why? The ones that I mentioned before I believe or for me are the best What kind of app is missing that you would like to see for managing your diabetes? I think that what has come out so far covers the demand of us diabetics Have you heard of any of the following smartphone apps: OnDuo, Levels, or January? if I have heard If so: How did you find out about these apps? In Internet If you are using any of them, how long have you been using them? I have not used so far What do you find most useful / what do you like the most about these apps? Well, if they are very useful, these apps help us a lot What improvements, if any, would you like to see? What else can be added if they have it all.",Interest in Omada App,Exploring the diversity of app usage and integration preferences among diabetes patients,To identify the smartphone apps currently used by diabetes patients to manage their condition and establish frequency of usage
